wavelength,absolute_irradiance,arena,light_environment
347.747,0.01,horizontal,bright
348.197,-0.01,horizontal,bright
348.648,0.01,horizontal,bright
349.099,0.01,horizontal,bright
349.549,0,horizontal,bright
350,0.01,horizontal,bright
350.45,0.02,horizontal,bright
350.9,0,horizontal,bright
351.351,0.01,horizontal,bright
351.801,-0.01,horizontal,bright
352.251,0,horizontal,bright
352.701,-0.01,horizontal,bright
353.151,0,horizontal,bright
353.601,0.01,horizontal,bright
354.051,0.01,horizontal,bright
354.501,0,horizontal,bright
354.951,0.01,horizontal,bright
355.401,0,horizontal,bright
355.851,0,horizontal,bright
356.301,0.02,horizontal,bright
356.75,0.01,horizontal,bright
357.2,-0.01,horizontal,bright
357.649,0.01,horizontal,bright
358.099,0,horizontal,bright
358.548,0,horizontal,bright
358.998,0.01,horizontal,bright
359.447,0.01,horizontal,bright
359.896,0,horizontal,bright
360.346,0.01,horizontal,bright
360.795,0.01,horizontal,bright
361.244,0.01,horizontal,bright
361.693,0.02,horizontal,bright
362.142,0.01,horizontal,bright
362.591,0.01,horizontal,bright
363.04,0.01,horizontal,bright
363.489,0.01,horizontal,bright
363.938,0.01,horizontal,bright
364.386,0.01,horizontal,bright
364.835,0.01,horizontal,bright
365.284,0,horizontal,bright
365.732,0,horizontal,bright
366.181,0.02,horizontal,bright
366.629,0.01,horizontal,bright
367.078,0.01,horizontal,bright
367.526,0.03,horizontal,bright
367.975,0.01,horizontal,bright
368.423,0.01,horizontal,bright
368.871,0.01,horizontal,bright
369.319,0.01,horizontal,bright
369.767,0.01,horizontal,bright
370.215,0.02,horizontal,bright
370.663,0.01,horizontal,bright
371.111,0,horizontal,bright
371.559,0.01,horizontal,bright
372.007,0.01,horizontal,bright
372.455,0.03,horizontal,bright
372.902,0.01,horizontal,bright
373.35,0.02,horizontal,bright
373.798,0.01,horizontal,bright
374.245,0.03,horizontal,bright
374.693,0.01,horizontal,bright
375.14,0.02,horizontal,bright
375.588,0.01,horizontal,bright
376.035,0.01,horizontal,bright
376.482,0.01,horizontal,bright
376.93,0.02,horizontal,bright
